gross,movie_title
71897215,10 Cloverfield Lane 
14616,10 Days in a Madhouse 
38176108,10 Things I Hate About You 
66941559,102 Dalmatians 
53481,10th & Wolf 
12232937,12 Rounds 
56667870,12 Years a Slave 
18329466,127 Hours 
56044241,13 Going on 30 
52822418,13 Hours 
71975611,1408 
24375436,15 Minutes 
36883539,16 Blocks 
64149837,17 Again 
127083765,2 Fast 2 Furious 
75573300,2 Guns 
536767,20 Dates 
4946250,20 Feet from Stardom 
6851636,200 Cigarettes 
56715371,2001: A Space Odyssey 
166112167,2012 
33349949,2016: Obama's America 
25675765,21 & Over 
16248701,21 Grams 
138447667,21 Jump Street 
81159365,21 
191616238,22 Jump Street 
13060843,25th Hour 
76806312,27 Dresses 
45063889,28 Days Later... 
37035515,28 Days 
28637507,28 Weeks Later 
30688364,3 Days to Kill 
167780960,3 Men and a Baby 
11784000,3 Ninjas Kick Back 
9821335,3 Strikes 
53574088,3:10 to Yuma 
39568996,30 Days of Night 
37053924,30 Minutes or Less 
106369117,300: Rise of an Empire 
15738632,3000 Miles to Graceland 
210592590,300 
37939782,40 Days and 40 Nights 
95001343,42 
2300000,42nd Street 
38297305,47 Ronin 
17149,5 Days of War 
120776832,50 First Dates 
34963967,50/50 
32391374,500 Days of Summer 
84689,51 Birch Street 
16574731,54 
3559990,8 Heads in a Duffel Bag 
116724075,8 Mile 
99851,8: The Mormon Proposition 
16930884,88 Minutes 
36283504,8MM 
4700361,90 Minutes in Heaven 
31743332,9 
6734844,9½ Weeks 
170708996,A Beautiful Mind 
1754319,A Better Life 
50800000,A Bridge Too Far 
162792677,A Bug's Life 
137850096,A Christmas Carol 
51431160,A Cinderella Story 
56702901,A Civil Action 
5702083,A Dangerous Method 
2148212,A Dog of Flanders 
141340178,A Few Good Men 
67344392,A Good Day to Die Hard 
7458269,A Good Year 
15408822,A Guy Thing 
515005,A Hard Day's Night 
17314483,A Haunted House 2 
40041683,A Haunted House 
31493782,A History of Violence 
1029017,A Home at the End of the World 
56083966,A Knight's Tale 
107458785,A League of Their Own 
100240,A Lego Brickumentary 
21835784,A Lot Like Love 
29392418,A Low Down Dirty Shame 
52528330,A Madea Christmas 
26183197,A Man Apart 
9172810,A Mighty Heart 
17508936,A Mighty Wind 
42615685,A Million Ways to Die in the West 
5749134,A Most Violent Year 
17237244,A Most Wanted Man 
30324946,A Night at the Roxbury 
30000000,A Nightmare on Elm Street 2: Freddy's Revenge 
44793200,A Nightmare on Elm Street 3: Dream Warriors 
49369900,A Nightmare on Elm Street 4: The Dream Master 
22168359,A Nightmare on Elm Street 5: The Dream Child 
26505000,A Nightmare on Elm Street 
26505000,A Nightmare on Elm Street 
26400000,A Passage to India 
15483540,A Perfect Getaway 
20338609,A Prairie Home Companion 
18434,A Room for Romeo Brass 
20966644,A Room with a View 
5480996,A Scanner Darkly 
9190525,A Serious Man 
16311763,A Simple Plan 
8119205,A Simple Wish 
9166863,A Single Man 
1891821,A Sound of Thunder 
34746109,A Thin Line Between Love and Hate 
18438149,A Thousand Words 
108706165,A Time to Kill 
35033759,A Very Harold & Kumar 3D Christmas 
50300000,A View to a Kill 
25977365,A Walk Among the Tombstones 
4741987,A Walk on the Moon 
41227069,A Walk to Remember 
78616689,A.I. Artificial Intelligence 
25857987,Æon Flux 
10719367,Abandon 
28064226,Abduction 
64148,Aberdeen 
40566655,About a Boy 
48637684,About Last Night 
65010106,About Schmidt 
15294553,About Time 
37516013,Abraham Lincoln: Vampire Hunter 
50007168,Absolute Power 
72217000,Ace Ventura: Pet Detective 
108360000,Ace Ventura: When Nature Calls 
24343673,Across the Universe 
24343673,Across the Universe 
70011073,Act of Valor 
20257000,Action Jackson 
2277396,Adam 
22245861,Adaptation. 
18004225,Admission 
317125,Adore 
16025394,Adventureland 
60522097,After Earth 
28328132,After the Sunset 
108229,After.Life 
5881504,Against the Ropes 
23222861,Agent Cody Banks 2: Destination London 
47285499,Agent Cody Banks 
617840,Agora 
24629916,Air Bud 
172620724,Air Force One 
2850263,Airborne 
83400000,Airplane! 
18811135,Akeelah and the Bee 
217350219,Aladdin 
3014541,Albert Nobbs 
326308,Albino Alligator 
14208384,Alex & Emma 
25863915,Alex Cross 
652526,Alex Rider: Operation Stormbreaker 
66950483,"Alexander and the Terrible, Horrible, No Good, Very Bad Day "
34293771,Alexander 
13395939,Alfie 
58183966,Ali 
334185206,Alice in Wonderland 
334185206,Alice in Wonderland 
76846624,Alice Through the Looking Glass 
55473600,Alien 3 
47748610,Alien: Resurrection 
78900000,Alien 
25200412,Aliens in the Attic 
