title,avg_valence,avg_arousal,avg_dominance
From Paris with Love ,0.948199999,0.526199996,0.648599994
The Ninth Gate ,0.5,0.223499998,0.410999998
The Last Samurai ,0.682999998,0.635500014,0.791500002
Land of the Lost ,0.527199996,0.503799993,0.466400003
Nanny McPhee ,0.61500001,0.370000005,0.527999997
Bogus ,0.218999997,0.352999985,0.143999994
The White Countess ,0.659666657,0.282666663,0.536333332
The Last Five Years ,0.620200002,0.333000007,0.479400003
Four Christmases ,0.551999986,0.280000001,0.382999986
On the Line ,0.522999994,0.306750007,0.394749999
15 Minutes ,0.582000017,0.279000014,0.356000006
The Cotton Club ,0.669333339,0.406333315,0.408000007
Gravity ,0.50999999,0.63499999,0.537999988
Spy Kids: All the Time in the World in 4D ,0.601899996,0.453499997,0.496300003
Legend of the Guardians: The Owls of Ga'Hoole ,0.671000004,0.491666665,0.619999995
Universal Soldier: The Return ,0.670166666,0.495833332,0.747333328
Donkey Punch ,0.288749993,0.67575001,0.482000001
Herbie Fully Loaded ,0.574000001,0.433499992,0.653499991
Oz the Great and Powerful ,0.865571422,0.702571426,0.883571429
The Haunted Mansion ,0.533500001,0.6065,0.647499993
Stone Cold ,0.249800004,0.469,0.423599994
Savage Grace ,0.672000011,0.581666658,0.574000001
Mission: Impossible II ,0.362666662,0.589333336,0.527666668
Maniac ,0.16,0.848499984,0.465499997
The Day After Tomorrow ,0.755499989,0.322999999,0.398000002
The Crying Game ,0.416800007,0.672799993,0.340200001
I Am Legend ,0.837000012,0.518999994,0.75
The Dark Knight Rises ,0.45266666,0.530666664,0.593833327
I Origins ,0.740999997,0.477999995,0.749833326
The Next Best Thing ,0.483999997,0.236000001,0.313999996
Up in the Air ,0.645500004,0.179499999,0.398499995
Who Killed the Electric Car? ,0.43250001,0.763000002,0.644166668
Midnight in the Garden of Good and Evil ,0.716999988,0.396400002,0.517499998
Exodus: Gods and Kings ,0.616999999,0.54225,0.733499989
Elizabeth: The Golden Age ,0.427999996,0.334249999,0.406750008
Cats & Dogs ,0.541999996,0.50333333,0.456999997
There Will Be Blood ,0.218999997,0.684000015,0.584999979
Celebrity ,0.891571428,0.757142867,0.78385715
Ghost Rider: Spirit of Vengeance ,0.497999994,0.696714282,0.566571432
Atonement ,0.484000012,0.637499988,0.547000021
The Notebook ,0.449000001,0.166999996,0.442000002
The Devil's Rejects ,0.138833332,0.654500003,0.39016667
The Last House on the Left ,0.630250014,0.336000007,0.557500005
Tango & Cash ,0.744499981,0.555999994,0.571999997
Jonah Hex ,0.409999996,0.50999999,0.363000005
The Skeleton Twins ,0.543666671,0.433333327,0.466000001
The Bourne Ultimatum ,0.218999997,0.855000019,0.837000012
Breakdown ,0.36500001,0.423000008,0.361000001
In the Name of the King: A Dungeon Siege Tale ,0.526999993,0.493428571,0.539142856
Shaft ,0.549000025,0.275000006,0.472000003
A Walk Among the Tombstones ,0.518333336,0.444333335,0.513999999
Winter's Bone ,0.426999996,0.355999996,0.423666666
Sorority Boys ,0.640500009,0.514500007,0.535999984
Hostage ,0.163000003,0.922999978,0.324999988
The Pink Panther ,0.554499999,0.431499988,0.576499984
The Monuments Men ,0.744500011,0.498999998,0.882999986
Kill Bill: Vol. 2 ,0.233499996,0.695749998,0.659250006
Margin Call ,0.516599998,0.502199987,0.453600007
Chairman of the Board ,0.562000014,0.373499997,0.593999997
Despicable Me ,0.145999998,0.709999979,0.254999995
The Intern ,0.578250006,0.432000004,0.533250004
Georgia Rule ,0.371999986,0.496499985,0.501499996
Kites ,0.643000007,0.5,0.573000014
Our Family Wedding ,0.804499999,0.536749996,0.562750012
Frozen River ,0.516000018,0.368999988,0.49000001
