title,gross,valence,arousal,dominance
From Paris with Love ,23324666,0.948199999,0.526199996,0.648599994
The Ninth Gate ,18653746,0.5,0.223499998,0.410999998
The Last Samurai ,111110575,0.682999998,0.635500014,0.791500002
Land of the Lost ,49392095,0.527199996,0.503799993,0.466400003
Nanny McPhee ,47124400,0.61500001,0.370000005,0.527999997
Bogus ,4357000,0.218999997,0.352999985,0.143999994
The White Countess ,1666262,0.659666657,0.282666663,0.536333332
The Last Five Years ,137945,0.620200002,0.333000007,0.479400003
Four Christmases ,120136047,0.551999986,0.280000001,0.382999986
On the Line ,4356743,0.522999994,0.306750007,0.394749999
15 Minutes ,24375436,0.582000017,0.279000014,0.356000006
The Cotton Club ,25900000,0.669333339,0.406333315,0.408000007
Gravity ,274084951,0.50999999,0.63499999,0.537999988
Spy Kids: All the Time in the World in 4D ,38536376,0.601899996,0.453499997,0.496300003
Legend of the Guardians: The Owls of Ga'Hoole ,55673333,0.671000004,0.491666665,0.619999995
Universal Soldier: The Return ,10431220,0.670166666,0.495833332,0.747333328
Donkey Punch ,18378,0.288749993,0.67575001,0.482000001
Herbie Fully Loaded ,66002004,0.574000001,0.433499992,0.653499991
Oz the Great and Powerful ,234903076,0.865571422,0.702571426,0.883571429
The Haunted Mansion ,75817994,0.533500001,0.6065,0.647499993
Stone Cold ,9286314,0.249800004,0.469,0.423599994
Savage Grace ,434417,0.672000011,0.581666658,0.574000001
Mission: Impossible II ,215397307,0.362666662,0.589333336,0.527666668
Maniac ,12843,0.16,0.848499984,0.465499997
The Day After Tomorrow ,186739919,0.755499989,0.322999999,0.398000002
The Crying Game ,62549000,0.416800007,0.672799993,0.340200001
I Am Legend ,256386216,0.837000012,0.518999994,0.75
The Dark Knight Rises ,448130642,0.45266666,0.530666664,0.593833327
I Origins ,334658,0.740999997,0.477999995,0.749833326
The Next Best Thing ,14983572,0.483999997,0.236000001,0.313999996
Up in the Air ,83813460,0.645500004,0.179499999,0.398499995
Who Killed the Electric Car? ,1677838,0.43250001,0.763000002,0.644166668
